sentence,cleanliness,comfort,amenities,staff,value,wifi,location,other
posizione ottima e struttura molto bella,neutral,positive,neutral,neutral,neutral,neutral,positive,neutral
colazione valida receptionist gentili,neutral,neutral,positive,positive,neutral,neutral,neutral,neutral
Camera troppo piccola per due persone.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Ottima colazione con prodotti vari e di qualità,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
Bagno addirittura senza riscaldamento.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Bellissimi e caratteristici il bar sulla terrazza ed il salone delle feste.,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
Ho usufruito del servizio di lavanderia che si è dimostrato efficiente e a prezzi accettabilissimi.,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
struttura e personale e posizione e  pulizia  consiglio a tutti,positive,positive,neutral,positive,neutral,neutral,positive,neutral
"Bellissima struttura ,pulizia e gentilezza dello staff .",positive,neutral,neutral,positive,neutral,neutral,neutral,neutral
La sala della colazione è splendida,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
"la tranquillità della camera, la vicinanza alla stazione ferroviaria che è pure il punto di arrivo del bus dall'aeroporto, la varietà della colazione con possibilità di consumarla anche in terrazza",neutral,positive,positive,neutral,neutral,neutral,positive,neutral
"In un palazzo fatiscente, rumoroso, prezzo esagerato per il posto",neutral,negative,neutral,neutral,negative,neutral,neutral,neutral
La struttura è piccola ma curata e pulita.,positive,positive,neutral,neutral,neutral,neutral,neutral,neutral
"Ho già scelto questa struttura, la sua posizione è per me strategica per il centro storico.",neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"In realtà più di quello che abbiamo pagato non valeva  un solo comodino, letto attaccato alla porta d'ingresso e bagno vetusto.",neutral,negative,neutral,neutral,negative,neutral,neutral,neutral
"Camere grandi e pulizia superlativa, posizione ottima.",positive,positive,neutral,neutral,neutral,neutral,positive,neutral
"camera per portatori handicap , rumorosa e fredda",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"L'hotel è in una posizione ottima per visitare Napoli,  e vicinissima anche a uno dei poli universitari    coloratissimo e,  nonostante lo spazio in camera non è ampissimo c'è posto per tutto.",neutral,positive,neutral,neutral,neutral,neutral,positive,neutral
"Stanza spaziosa e letto molto grande, pulizia impeccabile, personale gentile ma qualcuno aveva delle leggere difficoltà con l'italiano.",positive,positive,neutral,negative,neutral,neutral,neutral,neutral
C'erano ospiti poco graditi  blatte,negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral
"La stanza che mi avevano dato N  10 c'era meno pulizia, troppe zanzare, bagno troppo stretto, l'odore insopportabile di fumo di sigarette nella stanza.",negative,negative,neutral,neutral,neutral,neutral,neutral,neutral
Il personale era gentile,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
L aria condizionata era molto rumorosa e tenere la finestra aperta impossibile per via della vicinanza ad un altro edificio dove abbiamo assistito a litigi familiari molto scenografici,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Forse non giasterebbero delle brioches di pasticerria,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
Pulizia carente pure nelle camere  ho trovato capelli attaccati al phon .,negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral
riscaldamento ingestibile scarsa manutenzione,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Ci tornerei sicuramente e lo consiglierei.,neutral,neutral,neutral,neutral,neutral,neutral,neutral,positive
"Pagare prima di entrare in camera , perché la mia prenotazione è  stata fatta con America Express , e loro circuito non lo prevede... mi sembra molto scorretto nei riguardi dei clienti che tornano... perché precedentemente si erano trovati bene....",neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
Ho dovuto cambiare stanza per i brutti  odori.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
All'arrivo l'accoglienza è stata un po maleducata,neutral,neutral,neutral,negative,neutral,neutral,neutral,neutral
"stanza spaziosa, letto comodo e silenziosa.",neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
La posizione prossima alla stazione,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
La posizione ottima e l'ambiente confortevole e accogliente.,neutral,positive,neutral,neutral,neutral,neutral,positive,neutral
La posizione è comodissima per la stazione ferroviaria ma anche per raggiungere il centro a piedi.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
Non ce  un bel bar,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
La qualità delle camere  troppo piccole e datate in quanto a dotazioni.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Maniglia della porta finestra difettosa  non è la prima volta che succede.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"molto bello ingresso, posizione e colazione ottima",neutral,neutral,positive,neutral,neutral,neutral,positive,positive
Staff cordiale al check in,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
"Il personale, tutto, è stato gentilissimo, competente e ben predisposto ai contatti umani.",neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
Location bellissima in pieno centro.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"Ottima posizione, proprio di fronte alla stazione, ideale per visitare la città.",neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"I proprietari sono gentilissimi e super disponibili, ci si sente a casa e la posizione e  spettacolare  consiglio a tutti la visita",neutral,neutral,neutral,positive,neutral,neutral,positive,neutral
"Eccellente posizione a due passi da via dei Tribunali e da alcuni dei monumenti principali di Napoli  Cappella San Severo, Duomo, Chiostro di Santa Chiara ecc . Pulito.",positive,neutral,neutral,neutral,neutral,neutral,positive,neutral
Arredamento delle stanze vecchio.,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
Ottima posizione tra stazione ferroviaria e centro raggiungibile entrambi in pochi minuti,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
Il garage non è incluso,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
"Pulizia delle stanze, cortesia dello staff alla reception",positive,neutral,neutral,positive,neutral,neutral,neutral,neutral
situazione imbarazzante e inaudita.,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
Davvero troppo bello e singolare.,neutral,neutral,neutral,neutral,neutral,neutral,neutral,positive
"Il materasso era troppo duro per i miei gusti, come i cuscini",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
camere rumorose perchè mal insonorizzate.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Posto incantevole nel verde con una piscina molto accogliente,neutral,neutral,positive,neutral,neutral,neutral,positive,neutral
"Parcheggio e bagno scomodo,  Lavandino un po' otturato, doccia con box che non si chiudeva e rotto.",negative,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Colazione non troppo variegata, gli ascensori possono disorientare, poiché solo alcuni portano in determinate parti dell'albergo.",neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
"Materasso comodo, stanza e bagno di pulizia impeccabile, finiture moderne, abbastanza elegante",positive,positive,neutral,neutral,neutral,neutral,neutral,neutral
Puzzava e faceva freddo.,negative,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Gli ascensori, ce ne sono due e sono molto lenti e spesso non funzionano.",neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
Personale disponibile e gentile.,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
"Ti tolgono i soldi della garanzia prima di arrivare in albergo la mattina e ci impiegano forse una settimana per ridarteli, dopo il sollecito telefonico, un po' scorretto.",neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
Ideale per chi vuole fare un fine settimana a Bologna e non vuole spendere tanto per una sera.,neutral,neutral,neutral,neutral,positive,neutral,neutral,neutral
La colazione era ottima e abbondante e il personale di sala molto attento.,neutral,neutral,positive,positive,neutral,neutral,neutral,neutral
Personale molto gentile e disponibile in tutto  Struttura pulita e nuova  La colazione ottima ed abbondante,positive,neutral,positive,positive,neutral,neutral,neutral,neutral
colazione ottima e abbondante.,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
la camera un pò piccola,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Nessuna coperta supplementare offerta in caso sentiste fredfo durante la notte.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Mancava la carta igienica.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Il phon della camera troppo vecchio e non funzionava benissimo.,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
"Il secondo giorno stesso problema, telefonicamente il proprietario ci  invita a cambiare hotel affermando di aver trattato male il personale della reception  quando  Prenotato per 2 notti ci hanno fatto cambiare stanza in entrambi i giorni.",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Ottima posizione in centro.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
Nonostante l'essenzialità che ci si aspetta da un hotel non superstellato ho avuto la grande sorpresa di trovare un hotel molto confortevole pur nella sua semplicità.,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
Gli interni dell struttura sono bellissimi.,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
Colazione potrebbe essere migliorata,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
La struttura si trova esattamente di fronte alla stazione ferroviaria di Bologna ed in una posizione strategica rispetto al centro.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"La mia camera singola era molto più grande in particolare il bagno della doppia,per il prezzo pagato ci aspettavamo di più sinceramente",neutral,negative,neutral,neutral,negative,neutral,neutral,neutral
"Anche se per una persona, la camera era davvero molto piccola e, nonostante fosse molto bella e da poco ristrutturata in chiave moderna, purtroppo mal odorosa  problemi con la fognatura .",neutral,negative,neutral,neutral,neutral,neutral,neutral,positive
"Stanza piccola, difficile arrivarci se non conosci Bologna",neutral,negative,neutral,neutral,neutral,neutral,negative,neutral
"Struttura non vicina al centro, ma fornita di un grande parcheggio gratuito.",neutral,neutral,positive,neutral,neutral,neutral,negative,neutral
"Molto interessante la posizione, su via Toledo, a pochi passi da Piazza Pebiscito e dalla fermata della metro.",neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"la struttura si trova nel centro storico di Bologna, comoda per raggiungere a piedi tutte le principali attrazioni turistiche della città e la stazione ferroviaria.",neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"L' armadio è vecchio e generalmente parlando, l'arredamento sembra quello di casa di nonna.",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Bagno piccolo ma corredato con servizi di cortesia .,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Tutto il resto, struttura obsoleta,ogni autobus che passa sembra ci sia il terremoto, troppo rumore dalla strada.",neutral,negative,neutral,neutral,neutral,neutral,neutral,negative
"Posizione ottima, camera molto accogliente e piuttosto ampia",neutral,positive,neutral,neutral,neutral,neutral,positive,neutral
Mancanze inaccettabili per un 4 stelle.,neutral,neutral,neutral,neutral,negative,neutral,neutral,neutral
La posizione centrale che si più  non si può,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
La cortesia e l'efficienza del personale.,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
Il bagno era per disabili La sedia aveva il rivestimento sporco,negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral
"La posizione, la colazione molto buona  le uova erano cotte veramente bene  il letto comodo e pure il cuscino che puoi sceglire",neutral,positive,positive,neutral,neutral,neutral,positive,neutral
camera spaziosa e letto matrimoniale comodo.,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
Hotel sito proprio nel cuore di Bologna a due passi dalla zona pedonale di Via Indipendenza ed a 5 min a piedi da piazza Maggiore e dalle alte principali attrazioni della città.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"Nonostante tutti i grossi difetti che elenco nei  minus , nell' ambito del possibile non rinuncerò mai a soggiornare in questo Hotel.",neutral,neutral,neutral,neutral,positive,neutral,neutral,neutral
Ci sono tre bagni e li ho trovati quasi perfetti.,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
Convenzione con ristorante Mino,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
Moquette a terra vecchia e visibilmente macchiata.,negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral
il frigorifero si attaccava e si spegneva di continuo dalla 4 del mattino ero già sveglio ...  non ero a conoscenza della sua presenza e non era visibile  perché posizionato dentro un mobile altrimenti l'avrei disattivato ...,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Viaggio da decenni e questa è facilmente la peggior esperienza di viaggio che abbia mai avuto.,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
"La camera 107 al mattino un pò rumorosa, si trova vicino alla cucina dove preparono le colazioni.",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"L'hotel è in zona ospedale maggiore con trattorie,bar ed Esselunga vicini.",neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
Per quello che ho pagato nn mi aspettavo una stanza così scarsa visuale su altri palazzi bruttissimi moquette  poco igienica nemmeno asciuga capelli ne cuffie per doccia scusate ma quattro stelle parliamo,negative,negative,neutral,neutral,negative,neutral,neutral,neutral
Non c'erano asciugamani puliti ho dovuto chiederne uno in reception.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Mancano le prese Siemens nella stanza.,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
"colazione con scelta discreta, croissant freschi, comodo per visitare il centro storico e vicino alla stazione centrale",neutral,neutral,positive,neutral,neutral,neutral,positive,neutral
"Colazione non da hotel a 4 stelle, le camere sono datate, il bagno anni 80 e il lavandino otturato.",neutral,negative,negative,neutral,neutral,neutral,neutral,neutral
Camera con 5 posti letto insufficiente senza armadietti.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Ottima colazione a buffet con grande varietà di alimenti freschi.,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
"Mi hanno offerto un altro letto in un altro loro hotel a venti minuti di distanza, che avrei dovuto percorrere da solo, a piedi, alle 3 00 di notte a Milano",neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
Camera arredata con gusto,neutral,neutral,neutral,neutral,neutral,neutral,neutral,positive
"Letto messo in un posizione scomodissima tra letto e muro 10 cm di spazio per scendere,l'interruttore della luce della camera dalla parte opposta della stanza non c'era un comodino con una abajour .",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
la colazione non era un gran che,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
L'hotel è situato all'interno di un cortile tranquillo e caratteristico a pochi passi da piazza bellini,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"Se bisogna essere proprio scrupolosi, la nota dolente sono le Tv troppo piccole e di vecchia generazione.",neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
Non si può fare colazione,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
Personale gentile e disponibile.,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
Sono rimasto piacevolmente colpito dalla camera ampia e confortevole con vista sulle torri e bagno comodo.,neutral,positive,neutral,neutral,neutral,neutral,positive,neutral
darei la possibilità di effettuare il chek in anticipato,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
"Il materasso era comodissimo, anche se per un disguido nella prenotazione, per colpa mia, abbiamo avuto letti separati, e non è stato possibile né cambiare stanza né accomodarli.",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Vista dalla camera non entusiasmante,neutral,neutral,neutral,neutral,neutral,neutral,negative,neutral
"Pozione centrale, camera moderna",neutral,positive,neutral,neutral,neutral,neutral,positive,neutral
Colazione A buffet SUPER  addirittura una sezione riservata a vegetariani vegani,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
Per il prezzo che abbiamo pagato andava più che bene.,neutral,neutral,neutral,neutral,positive,neutral,neutral,neutral
"camera prenotata per tre letti e in realtà uno era divano letto piccolo e scomodo, terrazzino all'interno di un cortile orrendo.",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"L'hotel è molto caratteristico con disegni foto di Totò, Sophia Loren e Troisi.",neutral,neutral,neutral,neutral,neutral,neutral,neutral,positive
Fiera a due passi,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"Le luci insufficienti, la tv  a schermo piatto  da 15  montata ad una altezza che ne rende impossibile la visione.",neutral,negative,negative,neutral,neutral,neutral,neutral,neutral
l cambio delle lenzuola mai effettuato.,negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral
struttura moderna e funzionale....colazione buona e molta scelta......positivo il poter soggiornare con il nostro cane......rispecchia il livello dei 4 stelle Best Western.,neutral,positive,positive,neutral,positive,neutral,neutral,neutral
"Camera accogliente, ma non bene isolata.",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Posizione ottima, camera confortevole",neutral,positive,neutral,neutral,neutral,neutral,positive,neutral
"La colazione è ottima, ma a colpirmi molto è stata la gentilezza e la disponibilit  dello staff.",neutral,neutral,positive,positive,neutral,neutral,neutral,neutral
"Nonostante l'ampiezza della camera il letto matrimoniale era alla francese, quindi forse per qualcuno può non essere il massimo della comodità.",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
la stanza assegnata  era fredda e aprendo la finestra ci si trovava un muro di fronte.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"La finestra dava su un cavedio interno alla struttura, non c'era aria dall'esterno insomma.",neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
Stanze accoglienti arredate con gusto e il prezzo proposto per la notte conveniente al massimo,neutral,positive,neutral,neutral,positive,neutral,neutral,positive
La cortesia del personale.,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
"Pulizia e confort rispondono ampiamente alle aspettative, lo consigliere sia per chi viaggia per affari che per vedere e godersi la città",positive,positive,neutral,neutral,neutral,neutral,neutral,neutral
Ottima la posizione 10 minuti dal centro passeggiando romanticamente sotto i portici ricchi di negozi e con la navetta per il rizzoli a due passi.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"La camera era molto piccola, senza spazio neanche per aprire la valigia senza creare disagio nel passaggio.",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Struttura in zona centrale, comodissima per muoversi in tutta Napoli.",neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"Sala della colazione molto bella, trattandosi di palazzo storico.",neutral,neutral,neutral,neutral,neutral,neutral,neutral,positive
Non hanno parcheggio privato,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
Qualche piccolo dettaglio andrebbe migliorato tipo la qualità del materasso o il box doccia.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
colazione con ottimi dolci tipici napoletani.,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
Wifi indecente  a parte dentro il centro congressi,neutral,neutral,neutral,neutral,neutral,negative,neutral,neutral
La camera pulita e confortevole,positive,positive,neutral,neutral,neutral,neutral,neutral,neutral
La scaletta nel dormitorio comune per salire nel letto superiore è un po' scomoda.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Ho dovuto fermarmi al parking a circa 300m dall hotel a pagamento.,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
La vista è meravigliosa  solo per le camere vista mare .,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
Colazione non commisurata ad un hotel 4 stelle.,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
Ottima posizione e cordialità del personale,neutral,neutral,neutral,positive,neutral,neutral,positive,neutral
colazione con prodotti da supermercato  hotel da classificare con 2 stelle,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
"Quando siamo andati via abbiamo chiesto un taxi, il personale si è rifiutato di chiamarlo dicendoci che uscendo dall albergo li avremmo trovati per strada.",neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
Colazione ottima e anche la location panoramica,neutral,neutral,positive,neutral,neutral,neutral,positive,neutral
Poca cordialità del personale .,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
"Vergognosa la pulizia, lo stato delle camere e il bagno  scrostato e arrugginito",negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral
"ambiente , colazione di qualita",neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
Le prese vicino al letto non permetto l'inserimento di prese di sicurezza come quelle di alcuni computer o asciugacapelli.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Ambiente silenzioso e rilassante.,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
"Aria condizionata difficilmente regolabile,troppo freddo in stanza.",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Il proprietario è gentilissimo e ci ha dato tantissime informazioni utili riguardo la città , come muoverci e dove andare.",neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
"Colazione abbondante e con ricca scelta, frutta di buona qualità",neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
Per arrivare al Grand Hotel è quasi solo possibile in auto o in taxi.,neutral,neutral,neutral,neutral,neutral,neutral,negative,neutral
e la comodità del letto.,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
Struttura bellissima e ben curata.,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
"La sala da colazione è bellissima, nonché la colazione stessa è davvero abbondante e completa con salato  fagioli, bacon, uova , frutta  5 tipi diversi , dolci  non riesco ad enumerare , salumi, pani, caffè, tè  completa.",neutral,positive,positive,neutral,neutral,neutral,neutral,neutral
"nel frigo bar non ho trovato nulla da mangiare, molto strano, scarichi nei bagni da rivedere",neutral,negative,negative,neutral,neutral,neutral,neutral,neutral
"Colazione ottima, anche con prodotti locali caratteristici.",neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
"Comodo, facilmente raggiungibile sia dall'autostrada che dalla stazione ferroviaria",neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
Posizione strategica vicina all'autostrada pur essendo quasi in piena città.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
la temperatura all'interno dell'hotel ed in camera eccessivamente calda.,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Non c'è nessun tipo di controllo per l'accesso alle stanze, è sufficiente chiedere la chiave dicendo il numero di camera.",neutral,neutral,neutral,negative,neutral,neutral,neutral,neutral
La mancanza di Sky,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
struttura molto centrale e veramente molto  silenziosa.,neutral,positive,neutral,neutral,neutral,neutral,positive,neutral
Decisamente allegro l'ambiente e cordiale il personale quelle poche volte che ho necessitato d'assistenza Pulita la stanza.,positive,neutral,neutral,positive,neutral,neutral,neutral,neutral
"Cordialità da parte dello staff, pulizia e ordine.",positive,positive,neutral,positive,neutral,neutral,neutral,neutral
Wifi non funzionante nonostante ripetute richieste e rassicurazioni.,neutral,neutral,neutral,neutral,neutral,negative,neutral,neutral
"Camera confortevole e pulita, colazione ricchissima e di qualità.",positive,positive,positive,neutral,neutral,neutral,neutral,neutral
L'hotel necessita di maggiore cura nella pulizia e una migliore manutenzione,negative,neutral,neutral,neutral,neutral,neutral,neutral,negative
Staf reception molto cordiale e socievole .,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
siamo usciti di camera per la colazione e al rientro avevano cominciato le pulizie con tutti i nostri ancora da sistemare questo veramente pessimo.,neutral,neutral,negative,negative,neutral,neutral,neutral,neutral
La colazione davvero buona,neutral,neutral,negative,neutral,neutral,neutral,neutral,neutral
Consigliato per la posizione non molto distante da Bologna.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"Tutto  non c'era il frigo, e da descrizione avrebbe dovuto esserci  camera fredda con riscaldamento acceso solo l'ultima notte, anche se richiesto da subito,letto scomodo e materasso fatiscente  praticamente pessimo...",negative,negative,negative,neutral,neutral,neutral,neutral,neutral
tutto considerato è stata una settimana di buon soggiorno,neutral,neutral,neutral,neutral,neutral,neutral,neutral,positive
Pulizia ordine e cortesia,positive,positive,neutral,positive,neutral,neutral,neutral,neutral
"La moquette nelle camere, che per ovvie ragioni non può mai essere pulita.",negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral
la posizione per le visite,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
Nella mia esperienza di soggiorno davvero nulla che non mi sia piaciuto di questo hotel.,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
"La posizione in centro, la semplicità di tutte le operazioni, la disponibilità del personale e il fascino di stare in un antico palazzo",neutral,neutral,neutral,positive,neutral,neutral,positive,neutral
"E' difficoltoso trovare l'indirizzo, il navigatore quando ci si avvicina non lo trova.",neutral,neutral,neutral,neutral,neutral,neutral,negative,neutral
Diciamo che l albergo non ha una propria identità  è un mix di colori e arredi che sono in contrasto l uno con l altro,neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
Posizione ottima se non si ha la macchina.,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"Rapporto qualità prezzo buona , pulizie buone , staff cortese , colazione buona e vasta scelta, di fronte alle stazione di Napoli",positive,neutral,positive,positive,positive,neutral,positive,neutral
un complimento e un ringraziamento particolare va a Luigi gentilissimo sempre con il sorriso e poi fa un cappuccino ottimo e un grazie di cuore per avermi comprato anche questa volta il biglietto per la partita.,neutral,neutral,positive,positive,neutral,neutral,neutral,neutral
Porta della camera difettosa,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Unico piccolo inconveniente il fatto di stare al piano terra sul giardino faceva sì che fossimo obbligati a tenere le tende chiuse soprattutto al mattino, quando gli altri ospiti si recavano nella sala colazione.",neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Vicinanza stazione e centro,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"Non ci è piaciuta la pulizia, veramente scadente.",negative,neutral,neutral,neutral,neutral,neutral,neutral,neutral
letto singolo troppo stretto e materasso scomodissimo,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
"Bagno sporco, base doccia porta rotto.",negative,negative,neutral,neutral,neutral,neutral,neutral,neutral
"letto molto confertevole, impianti ben funzionanti, personale professionale e cordiale.",neutral,positive,positive,positive,neutral,neutral,neutral,neutral
Bagno un po' stretto e da rimodernare,neutral,negative,neutral,neutral,neutral,neutral,neutral,neutral
Punto strategico a 20 metri dalla metropolitana,neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
Nell'insieme è una buona struttura,neutral,neutral,neutral,neutral,neutral,neutral,neutral,positive
Si sta come a casa propria Colazione super,neutral,positive,positive,neutral,neutral,neutral,neutral,neutral
Colazione abbondante e con prodotti di qualità.,neutral,neutral,positive,neutral,neutral,neutral,neutral,neutral
"Camera ampia e spaziosa, luminosa, letto comodissimo",neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
Posizione comodissima per visitare la città.......cortesia di tutto lo staff......buona colazione.......da consigliare   Buone Feste,neutral,neutral,positive,positive,neutral,neutral,positive,neutral
Stanza e bagno grandissime.,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
personale molto gentile e disponibile,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
"UNO SCHIFO, ANDATE ALTROVE",neutral,neutral,neutral,neutral,neutral,neutral,neutral,negative
Un 4 stelle economico e valido.,neutral,neutral,neutral,neutral,positive,neutral,neutral,neutral
Il servizio alla colazione gentile e professionale.,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
"L'hotel è in una posizione centrale, ideale per un breve soggiorno nella città di Napoli.",neutral,neutral,neutral,neutral,neutral,neutral,positive,neutral
"Check in, stanza, il personale, pulizia, colazione i punti top.",positive,positive,positive,positive,neutral,neutral,neutral,neutral
Camera spaziosa e silenziosa.,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
Camera spaziosissima e confortevole.,neutral,positive,neutral,neutral,neutral,neutral,neutral,neutral
Staff cortese e disponibile.,neutral,neutral,neutral,positive,neutral,neutral,neutral,neutral
